bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade
6,(EF69CO06),"(EF69CO06) Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica.",57,(EF06MA03X),0.6959063
7,(EF69CO07),"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.",1555,(EF69LP35BX),0.7198254
7,(EF69CO07),"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.",1251,(EF69LP39BX),0.7165139
7,(EF69CO07),"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.",1405,(EF69LP39BX),0.7165139
7,(EF69CO07),"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.",1284,(EF89LP02),0.7100324
7,(EF69CO07),"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.",1373,(EF89LP02),0.7100324
7,(EF69CO07),"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.",1492,(EF89LP02),0.7100324
8,(EF69CO08),"(EF69CO08) Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.",146,(EF67LP36),0.6630898
8,(EF69CO08),"(EF69CO08) Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.",147,(EF67LP36),0.6630898
9,(EF69CO09),"(EF69CO09) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",1284,(EF89LP02),0.77882457
9,(EF69CO09),"(EF69CO09) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",1373,(EF89LP02),0.77882457
9,(EF69CO09),"(EF69CO09) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",1492,(EF89LP02),0.77882457
10,(EF69CO10),(EF69CO10) Entender como é a estrutura e funcionamento da internet.,1284,(EF89LP02),0.70658094
10,(EF69CO10),(EF69CO10) Entender como é a estrutura e funcionamento da internet.,1373,(EF89LP02),0.70658094
10,(EF69CO10),(EF69CO10) Entender como é a estrutura e funcionamento da internet.,1492,(EF89LP02),0.70658094
11,(EF07CO01),(EF07CO01) Criar soluções de problemas para os quais seja adequado o uso de registros e matrizes unidimensionais para descrever suas informações e automatizá-las usando uma linguagem de programação.,1251,(EF69LP39BX),0.6804288
11,(EF07CO01),(EF07CO01) Criar soluções de problemas para os quais seja adequado o uso de registros e matrizes unidimensionais para descrever suas informações e automatizá-las usando uma linguagem de programação.,1405,(EF69LP39BX),0.6804288
12,(EF07CO02),"(EF07CO02) Analisar programas para detectar e remover erros, ampliando a confiança na sua correção.",1273,(EF69LP01C),0.6194991
12,(EF07CO02),"(EF07CO02) Analisar programas para detectar e remover erros, ampliando a confiança na sua correção.",1368,(EF69LP01C),0.6194991
12,(EF07CO02),"(EF07CO02) Analisar programas para detectar e remover erros, ampliando a confiança na sua correção.",1430,(EF69LP01C),0.6194991
12,(EF07CO02),"(EF07CO02) Analisar programas para detectar e remover erros, ampliando a confiança na sua correção.",1482,(EF69LP01C),0.6194991
13,(EF07CO03),"(EF07CO03) Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares.",818,(EF06CI18ME),0.6527183
14,(EF07CO04),(EF07CO04) Explorar propriedades básicas de grafos.,75,(EF06MA31X),0.66136783
15,(EF07CO05),(EF07CO05) Criar algoritmos fazendo uso da decomposição e do reúso no processo de solução de forma colaborativa e cooperativa e automatizá-los usando uma linguagem de programação.,1540,(EF89LP29AX),0.6906263
16,(EF07CO06),(EF07CO06) Compreender o papel de protocolos para a transmissão de dados.,1251,(EF69LP39BX),0.60179543
16,(EF07CO06),(EF07CO06) Compreender o papel de protocolos para a transmissão de dados.,1405,(EF69LP39BX),0.60179543
17,(EF07CO07),(EF07CO07) Identificar problemas de segurança cibernética e experimentar formas de proteção.,1284,(EF89LP02),0.6052376
17,(EF07CO07),(EF07CO07) Identificar problemas de segurança cibernética e experimentar formas de proteção.,1373,(EF89LP02),0.6052376
17,(EF07CO07),(EF07CO07) Identificar problemas de segurança cibernética e experimentar formas de proteção.,1492,(EF89LP02),0.6052376
18,(EF07CO08),(EF07CO08) Demonstrar empatia sobre opiniões divergentes na web.,1284,(EF89LP02),0.7394421
18,(EF07CO08),(EF07CO08) Demonstrar empatia sobre opiniões divergentes na web.,1373,(EF89LP02),0.7394421
18,(EF07CO08),(EF07CO08) Demonstrar empatia sobre opiniões divergentes na web.,1492,(EF89LP02),0.7394421
19,(EF07CO09),(EF07CO09) Reconhecer e debater sobre cyberbullying.,1284,(EF89LP02),0.5592668
19,(EF07CO09),(EF07CO09) Reconhecer e debater sobre cyberbullying.,1373,(EF89LP02),0.5592668
