bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade,nota_corte_usada
8,(EF69CO08),"(EF69CO08) Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.",12,(EF06ER03),0.6007749,0.6599999999999997
9,(EF69CO09),"(EF69CO09) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",1284,(EF89LP02),0.77882457,0.7699999999999998
10,(EF69CO10),(EF69CO10) Entender como é a estrutura e funcionamento da internet.,1114,(EF69LP09),0.6817059,0.6799999999999997
10,(EF69CO10),(EF69CO10) Entender como é a estrutura e funcionamento da internet.,1426,(EF89LP01A),0.6351509,0.6799999999999997
11,(EF07CO01),(EF07CO01) Criar soluções de problemas para os quais seja adequado o uso de registros e matrizes unidimensionais para descrever suas informações e automatizá-las usando uma linguagem de programação.,1278,(EF69LP04),0.6636579,0.6599999999999997
11,(EF07CO01),(EF07CO01) Criar soluções de problemas para os quais seja adequado o uso de registros e matrizes unidimensionais para descrever suas informações e automatizá-las usando uma linguagem de programação.,1548,(EF69LP42AX),0.6577979,0.6599999999999997
11,(EF07CO01),(EF07CO01) Criar soluções de problemas para os quais seja adequado o uso de registros e matrizes unidimensionais para descrever suas informações e automatizá-las usando uma linguagem de programação.,1587,(EF07LI09),0.59893554,0.6599999999999997
12,(EF07CO02),"(EF07CO02) Analisar programas para detectar e remover erros, ampliando a confiança na sua correção.",1273,(EF69LP01C),0.6194991,0.6099999999999997
12,(EF07CO02),"(EF07CO02) Analisar programas para detectar e remover erros, ampliando a confiança na sua correção.",1234,(EF07LP14),0.5923648,0.6099999999999997
13,(EF07CO03),"(EF07CO03) Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares.",818,(EF06CI18ME),0.6527183,0.6499999999999997
13,(EF07CO03),"(EF07CO03) Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares.",187,(EF89EF02P3),0.63148046,0.6499999999999997
13,(EF07CO03),"(EF07CO03) Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares.",1205,(EF67LP10A),0.5951412,0.6499999999999997
14,(EF07CO04),(EF07CO04) Explorar propriedades básicas de grafos.,75,(EF06MA31X),0.66136783,0.6599999999999997
14,(EF07CO04),(EF07CO04) Explorar propriedades básicas de grafos.,1733,(EF08MA32ME),0.6440847,0.6599999999999997
15,(EF07CO05),(EF07CO05) Criar algoritmos fazendo uso da decomposição e do reúso no processo de solução de forma colaborativa e cooperativa e automatizá-los usando uma linguagem de programação.,624,(EF89LP35),0.6572192,0.6499999999999997
15,(EF07CO05),(EF07CO05) Criar algoritmos fazendo uso da decomposição e do reúso no processo de solução de forma colaborativa e cooperativa e automatizá-los usando uma linguagem de programação.,42,(EF69LP51X),0.65103227,0.6499999999999997
15,(EF07CO05),(EF07CO05) Criar algoritmos fazendo uso da decomposição e do reúso no processo de solução de forma colaborativa e cooperativa e automatizá-los usando uma linguagem de programação.,924,(EF89EF03P4),0.62445605,0.6499999999999997
16,(EF07CO06),(EF07CO06) Compreender o papel de protocolos para a transmissão de dados.,1128,(EF67LP20),0.5736834,0.5699999999999996
16,(EF07CO06),(EF07CO06) Compreender o papel de protocolos para a transmissão de dados.,1442,(EF09LP11),0.57192564,0.5699999999999996
16,(EF07CO06),(EF07CO06) Compreender o papel de protocolos para a transmissão de dados.,51,(EF06Ll24),0.53165555,0.5699999999999996
17,(EF07CO07),(EF07CO07) Identificar problemas de segurança cibernética e experimentar formas de proteção.,869,(EF09CI05),0.5831384,0.5799999999999996
17,(EF07CO07),(EF07CO07) Identificar problemas de segurança cibernética e experimentar formas de proteção.,831,(EF06CI26ME),0.5546227,0.5799999999999996
